TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.005,1,10,1,1,0,0.04
0.006493056,1,10,1,1,0,0.04
0.006898148,1,10,1,1,0,0.22
0.007002315,1,10,1,1,0,0.22
0.00849537,1,10,1,1,0,0.22
0.010231481,1,10,1,1,0,0.22
0.010381944,1,10,1,1,0,0.44
0.010474537,1,10,1,1,0,0.44
0.011990741,1,10,1,1,0,0.44
0.013483796,1,10,1,1,0,0.44
0.013865741,1,10,1,1,0,0.73
0.013935185,1,10,1,1,0,0.73
0.015451389,1,10,1,1,0,0.73
0.016944444,1,10,1,1,0,0.73
0.017349537,1,10,1,1,0,0.99
0.017418981,1,10,1,1,0,0.99
0.018900463,1,10,1,1,0,0.99
0.020416667,1,10,1,1,0,0.99
0.020833333,1,10,1,1,0,1.24
0.020902778,1,10,1,1,0,1.24
0.022384259,1,10,1,1,0,1.24
0.023877315,1,10,1,1,0,1.24
0.02431713,1,10,1,1,0,1.55
0.024398148,1,10,1,1,0,1.55
0.0259375,1,10,1,1,0,1.55
0.027453704,1,10,1,1,0,1.55
0.027800926,1,10,1,1,0,1.83
0.027928241,1,10,1,1,0,1.83
0.029456019,1,10,1,1,0,1.83
0.0309375,1,10,1,1,0,1.83
0.031284722,1,10,1,1,0,2.05
0.031342593,1,10,1,1,0,2.05
0.001539352,8,3,1,1,0,0
0.00306713,8,3,1,1,0,0
0.003402778,8,3,1,1,0,0.03
0.003472222,8,3,1,1,0,0.03
0.004965278,8,3,1,1,0,0.03
0.006458333,8,3,1,1,0,0.03
0.006886574,8,3,1,1,0,0.14
0.006990741,8,3,1,1,0,0.14
0.008483796,8,3,1,1,0,0.14
0.009988426,8,3,1,1,0,0.14
0.01037037,8,3,1,1,0,0.28
0.010439815,8,3,1,1,0,0.28
0.011921296,8,3,1,1,0,0.28
0.0134375,8,3,1,1,0,0.28
0.013854167,8,3,1,1,0,0.42
0.014016204,8,3,1,1,0,0.42
0.015509259,8,3,1,1,0,0.42
0.016990741,8,3,1,1,0,0.42
0.017337963,8,3,1,1,0,0.57
0.017430556,8,3,1,1,0,0.57
0.018935185,8,3,1,1,0,0.57
0.020428241,8,3,1,1,0,0.57
0.020821759,8,3,1,1,0,0.76
0.020902778,8,3,1,1,0,0.76
0.022407407,8,3,1,1,0,0.76
0.023900463,8,3,1,1,0,0.76
0.024305556,8,3,1,1,0,0.91
0.024375,8,3,1,1,0,0.91
0.02587963,8,3,1,1,0,0.91
0.027372685,8,3,1,1,0,0.91
0.027789352,8,3,1,1,0,1.09
0.027881944,8,3,1,1,0,1.09
0.029363426,8,3,1,1,0,1.09
0.030856481,8,3,1,1,0,1.09
0.031273148,8,3,1,1,0,1.27
0.031354167,8,3,1,1,0,1.27
0.032847222,8,3,1,1,0,1.27
0.034340278,8,3,1,1,0,1.27
0.034756944,8,3,1,1,0,1.43
0.034826389,8,3,1,1,0,1.43
0.03630787,8,3,1,1,0,1.43
0.037800926,8,3,1,1,0,1.43
0.038240741,8,3,1,1,0,1.61
